text,page,avg_font_size,y_position,bbox,font_name,source_pdf,is_bold,is_all_caps,text_len,starts_with_numbering,relative_font_size,norm_y_pos,is_centered,space_before,space_after,label
Application form for grant of LTC advance,0,11.670000076293945,106.07836151123047,"(199.86000061035156, 106.07836151123047, 437.190673828125, 119.10208129882812)","Arial,Bold",E0CCG5S239.pdf,True,False,41,False,1.1981519585517397,0.1259838022698699,True,-1.0,13.890396118164062,Title
Name of the Government Servant,0,9.744400024414062,132.9924774169922,"(95.99856567382812, 132.9924774169922, 243.4400634765625, 144.7442169189453)",Tahoma,E0CCG5S239.pdf,False,False,30,False,1.000451747886454,0.15794831047148716,False,13.890396118164062,-8.808929443359375,Title
1.,0,9.744400024414062,135.93528747558594,"(70.0199966430664, 135.93528747558594, 82.12254333496094, 147.68702697753906)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.16144333429404506,False,-8.808929443359375,3.361846923828125,Body Text
Designation,0,9.744400024414062,151.0488739013672,"(95.99856567382812, 151.0488739013672, 149.32675170898438, 162.8006134033203)",Tahoma,E0CCG5S239.pdf,False,False,11,False,1.000451747886454,0.1793929618781083,False,3.361846923828125,-8.750457763671875,Body Text
2.,0,9.744400024414062,154.05015563964844,"(70.0199966430664, 154.05015563964844, 82.12254333496094, 165.80189514160156)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.18295742950077012,False,-8.750457763671875,3.361846923828125,Body Text
Date of entering the Central Government,0,9.744400024414062,169.1637420654297,"(95.99856567382812, 169.1637420654297, 296.01995849609375, 180.9154815673828)",Tahoma,E0CCG5S239.pdf,False,False,39,False,1.000451747886454,0.20090705708483336,False,3.361846923828125,0.009735107421875,Body Text
3.,0,9.744400024414062,180.9252166748047,"(70.0199966430664, 180.9252166748047, 82.12254333496094, 192.6769561767578)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.21487555424561128,False,0.009735107421875,-5.934295654296875,Body Text
Service,0,9.744400024414062,186.74266052246094,"(95.99856567382812, 186.74266052246094, 129.7297821044922, 198.49440002441406)",Tahoma,E0CCG5S239.pdf,False,False,7,False,1.000451747886454,0.22178463244947855,False,-5.934295654296875,6.363067626953125,Body Text
PAY + SI + NPA,0,9.744400024414062,204.8574676513672,"(95.99856567382812, 204.8574676513672, 168.8944854736328, 216.6092071533203)",Tahoma,E0CCG5S239.pdf,False,True,14,False,1.000451747886454,0.24329865516789453,False,6.363067626953125,-8.808929443359375,Body Text
4.,0,9.744400024414062,207.80027770996094,"(70.0199966430664, 207.80027770996094, 82.12254333496094, 219.55201721191406)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.24679367899045243,False,-8.808929443359375,3.361846923828125,Body Text
Whether permanent or temporary,0,9.744400024414062,222.9138641357422,"(95.99856567382812, 222.9138641357422, 244.10366821289062, 234.6656036376953)",Tahoma,E0CCG5S239.pdf,False,False,30,False,1.000451747886454,0.26474330657451567,False,3.361846923828125,-8.750457763671875,Body Text
5.,0,9.744400024414062,225.91514587402344,"(70.0199966430664, 225.91514587402344, 82.12254333496094, 237.66688537597656)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.2683077741971775,False,-8.750457763671875,3.430023193359375,Body Text
6. Home Town as recorded in the Service Book,0,9.744400024414062,241.09690856933594,"(70.0199966430664, 241.09690856933594, 289.5272216796875, 252.84864807128906)",Tahoma-Bold,E0CCG5S239.pdf,True,False,44,True,1.000451747886454,0.28633837122248923,False,3.430023193359375,0.428802490234375,Body Text
Whether wife / husband is employed and if,0,9.744400024414062,253.27745056152344,"(95.99856567382812, 253.27745056152344, 295.9496765136719, 265.0292053222656)",Tahoma,E0CCG5S239.pdf,False,False,41,False,1.000451747886454,0.30080457311344827,False,0.428802490234375,0.009735107421875,Body Text
7.,0,9.744400024414062,265.0389404296875,"(70.0199966430664, 265.0389404296875, 82.12254333496094, 276.7906799316406)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.31477308839630347,False,0.009735107421875,-5.934295654296875,Body Text
so whether entitled to LTC,0,9.744400024414062,270.85638427734375,"(95.99856567382812, 270.85638427734375, 212.8251190185547, 282.6081237792969)",Tahoma,E0CCG5S239.pdf,False,False,26,False,1.000451747886454,0.32168216660017074,False,-5.934295654296875,6.372833251953125,Body Text
Whether the concession is to be availed for,0,9.744400024414062,288.98095703125,"(95.99856567382812, 288.98095703125, 295.94781494140625, 300.7326965332031)",Tahoma,E0CCG5S239.pdf,False,False,43,False,1.000451747886454,0.34320778744804037,False,6.372833251953125,5.827178955078125,Body Text
visiting home town and if so block for which,0,9.744400024414062,306.55987548828125,"(95.99856567382812, 306.55987548828125, 296.0480651855469, 318.3116149902344)",Tahoma,E0CCG5S239.pdf,False,False,44,False,1.000451747886454,0.36408536281268555,False,5.827178955078125,-8.750457763671875,Body Text
8.,0,9.744400024414062,309.5611572265625,"(70.0199966430664, 309.5611572265625, 82.12254333496094, 321.3128967285156)",Tahoma-Bold,E0CCG5S239.pdf,True,False,2,True,1.000451747886454,0.3676498304353474,False,-8.750457763671875,2.884307861328125,Body Text
LTC is to be availed.,0,9.744400024414062,324.19720458984375,"(95.99856567382812, 324.19720458984375, 186.0504608154297, 335.948974609375)",Tahoma,E0CCG5S239.pdf,False,False,21,False,1.000451747886454,0.3850323094891256,False,2.884307861328125,6.30462646484375,Body Text
